序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期,卫星,小时,星期,月份,时间戳,季节_春季,半长轴_经度,控制状态_encoded,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,预测控制状态
102,2024-04-14 20:57:12,-3049.814737272733,-0.5005569251550205,-1.0505329327717783,0.0,2024-04-14,59020,-2.0627416189523875,-0.7688399072865925,-2.0949516654869216,-45.72192334672562,True,-0.13910108164606946,0,0.11366537988876807,1.7796863178520848,0.9948754868900201,0.9286008395109585,-1.1593551845530343,0.5952777287260846,-0.15998636805913977,-0.38973117830894477,1607.4138068901893,-252.47858883088455,-422.9361250673362,49.09204486114763,94.137244339147,221.46138642448352,-1487.7500675245376,-2050.2083352129675,0.0
103,2024-04-15 18:22:05,-3049.814159208615,-0.5005653540708181,-1.0505329327717783,0.0,2024-04-15,59020,-2.1171145281754464,-2.2703287385996673,-2.0949516654869216,-45.72192334666707,True,-0.13204609585668625,0,0.1051255871620661,1.5035497657868504,1.014991834890915,-1.308684849503767,0.8344208971266673,0.6797509107789387,0.05768375684076595,-0.46694642243679346,1607.4239302575704,-252.54330167320083,-422.9458851633458,47.96494732042393,95.12572618995267,221.51872120969242,-1487.7021807026424,-2050.2003304716677,0.0
106,2024-04-16 16:39:18,-3049.813591607196,-0.5005780837247549,-1.0505329327717783,0.0,2024-04-16,59020,-2.171487437398506,-2.0200806000474882,-2.0949516654869216,-45.721923346606125,True,-0.1250744174817449,0,0.07498928245306044,1.2914798653783002,1.0831598090153294,-0.90829329811971,0.5327030117316838,0.6125427549453959,0.23788477508276354,-0.609231784029741,1607.4232086385675,-252.57584932039217,-422.93169040873903,48.1573361285305,94.96588736275132,221.50013947403863,-1487.6729113664296,-2050.2249115721497,0.0
109,2024-04-17 17:57:33,-3049.812962798988,-0.500565805382845,-1.0505329327717783,0.0,2024-04-17,59020,-2.144300982786976,-1.7698324614953092,-2.0949516654869216,-45.72192334653693,True,-0.11768162863920291,0,0.0877332561134237,1.4121141719979822,1.065209215798097,-0.5435074540987099,0.19092574541513996,0.6149982338339145,0.14953973179403823,-0.5396350056802858,1607.4298516615545,-252.55380340580643,-422.9315760176145,48.34386544729983,94.79944627672877,221.4930205505401,-1487.6880668461217,-2050.214331953182,0.0
112,2024-04-18 18:29:06,-3049.8123334676443,-0.5005605356512361,-1.0505329327717783,0.0,2024-04-18,59020,-2.1171145281754464,-1.51958432294313,-2.0949516654869216,-45.72192334646987,True,-0.11018684476808109,0,0.10048449668066148,1.5323403456742397,1.047407102593793,-0.17870305844338974,-0.15083810343925308,0.6174103387687625,0.06085202937898406,-0.46975897667513816,1607.4365785621562,-252.5317730678246,-422.9314411037291,48.53039489827853,94.63300287263708,221.48590110046743,-1487.7031980654474,-2050.2037058704864,0.0
114,2024-04-19 11:28:50,-3049.811865785,-0.500568353968409,-1.0505329327717783,0.0,2024-04-19,59020,-2.307419710456154,-1.2693361843909508,-2.0949516654869216,-45.721923346423395,True,-0.10448936546541884,0,-0.0010893027207016792,0.7683677462999396,1.2577855694368614,0.2809066228073581,-0.3858724412761169,0.43400442457527766,0.690937637387542,-0.9668542593016215,1607.4231101466846,-252.65521760742962,-422.8938957527518,48.73254847315105,94.48418049255434,221.44821707859725,-1487.6000166514418,-2050.287148120031,0.0
119,2024-04-20 21:08:17,-3049.8112704574287,-0.5005550668113801,-1.0505329327717783,0.0,2024-04-20,59020,-2.035555164340858,-1.0190880458387717,-2.0949516654869216,-45.721923346331366,True,-0.09747583089337024,0,0.1396822434335987,1.8830016658845825,0.982661219006685,0.5391241507651513,-0.8475428521357256,0.6457821682405293,-0.20886572805552303,-0.26201921567013514,1607.450582048936,-252.46927431823863,-422.9363242947627,48.90150640165861,94.29798076244525,221.47551595551994,-1487.749052315365,-2050.1719082213153,0.0
122,2024-04-21 21:10:07,-3049.810705471684,-0.5005555579450565,-1.0505329327717783,0.0,2024-04-21,59020,-2.035555164340858,-0.7688399072865925,-2.0949516654869216,-45.721923346265655,True,-0.09068352003379714,0,0.1380170046318413,1.892490219627487,0.9933530807920499,0.915800676789067,-1.1759278086459444,0.6250580773971186,-0.20835058109536386,-0.2635088358160697,1607.4544087813993,-252.4653819346194,-422.9316036033409,49.08999007645814,94.13375299450938,221.4645825658969,-1487.7495508361924,-2050.173273185378,0.0
124,2024-04-22 17:58:32,-3049.810105959033,-0.5005614117275238,-1.0505329327717783,0.0,2024-04-22,59020,-2.144300982786976,-2.2703287385996673,-2.0949516654869216,-45.72192334620876,True,-0.08343238348905593,0,0.10104231296094249,1.395644560216296,1.0706752208400032,-1.2978139256393906,0.8444740583208291,0.6630795114264709,0.18992484263178785,-0.4818167821848609,1607.4599897885416,-252.56652583522492,-422.93188858980693,47.96679688902436,95.12662245374226,221.51426705749333,-1487.6718733463006,-2050.188470027631,0.0
127,2024-04-23 18:08:37,-3049.8093170715306,-0.500560057791443,-1.0505329327717783,0.0,2024-04-23,59020,-2.1171145281754464,-2.0200806000474882,-2.0949516654869216,-45.72192334614268,True,-0.07397053216882264,0,0.11423111177039183,1.5156093453181736,1.0535896418137913,-0.9330369353126974,0.5026039833971194,0.6652772642458049,0.10264774052024148,-0.4094848183831426,1607.4682725789903,-252.54470144929894,-422.931377633002,48.15332237558691,94.96012666896235,221.50712254190748,-1487.6863842439664,-2050.176894195803,0.0
